libfixposix 0.5-1
libfontenc 1.1.4-3
libfreeaptx 0.1.1-1
libgcrypt 1.9.4-1
libgdiplus 5.6.1-3.1
libgexiv2 0.14.0-3
libgit2 1:1.3.0-1
libglvnd 1.4.0-1
libgme 0.6.3-1.1
libgpg-error 1.43-1
libgphoto2 2.5.28-1
libgsf 1.14.48-1
libgudev 237-1
libgusb 0.3.10-1
libgxps 0.3.2-1
libhandy 1.4.0-1
libheif 1.12.0-2
libibus 1.5.25-5
libical 3.0.13-1
libice 1.0.10-3.1
libid3tag 0.15.1b-11.1
libidn 1.38-1
libidn2 2.3.2-1
libiec61883 1.2.0-6.1
libieee1284 0.2.11-13
libilbc 3.0.4-1
libimagequant 2.17.0-1
libimobiledevice 1.3.0-5
libinih 53-1
libinput 1.19.3-2
libinstpatch 1.1.6-1
libjpeg-turbo 2.1.2-1
libklvanc-git r506.e66924a-1
libksba 1.6.0-1
libldac 2.0.2.3-1
libldap 2.6.1-1
liblouis 3.20.0-2
liblqr 0.4.2-3.1
libluv 1.42.0_1-1
libmad 0.15.1b-9.1
libmanette 0.2.6-2
libmatroska 1.6.3-1
libmd 1.0.4-1
libmikmod 3.3.11.1-4.1
libmm-glib 1.18.4-1
libmng 2.0.3-3.1
libmnl 1.0.4-3.1
libmodplug 0.8.9.0-3.1
libmpc 1.2.1-1
libmpcdec 1:0.1+r475-3.1
libmpdclient 2.20-1
libmpeg2 0.5.1-7.1
libmtp 1.1.19-1
libmypaint 1.6.1-1
libmysofa 1.2.1-1
libnet 1:1.1.6-1.1
libnetfilter_conntrack 1.0.8-1.1
libnfnetlink 1.0.1-4
libnfs 4.0.0-4
libnftnl 1.2.1-1
libnghttp2 1.46.0-1
libnl 3.5.0-3
libnotify 0.7.9-2
libnsl 2.0.0-1
libogg 1.3.5-1
libomxil-bellagio 0.9.3-3.1
libopenmpt-svn 0.7.r16665-1
libp11 0.4.11-1
libp11-kit 0.24.1-1
libpaper 1.1.28-1.1
libpcap 1.10.1-1
libpciaccess 0.16-2.1
libpgm 5.3.128-1
libpipeline 1.5.5-1
libplacebo 4.157.0-1
libplist 2.2.0-5
libpng 1.6.37-3
libproxy 0.4.17-6
libpsl 0.21.1-1
libpulse 15.0-1
librabbitmq-c 0.11.0-1
libraqm 0.8.0-1
libratbag 0.16-1
libraw 0.20.2-1
libraw1394 2.1.2-3.1
librewolf 96.0.1-1
librist 0.2.6-1
librsvg 2:2.52.5-1
libsamplerate 0.2.2-1
libsasl 2.1.27-3.1
libseccomp 2.5.3-3
libsecret 0.20.4-1
libshout 1:2.4.5-1
libsigc++ 2.10.7-2
libsigsegv 2.14-1
libsixel 1.10.3-4
libsm 1.2.3-2.1
libsndfile 1.0.31-1
libsodium 1.0.18-2
libsoup 2.74.2-2
libsoxr 0.1.3-2.1
libspectre 0.2.9-2
libspiro 1:20200505-2
libssh 0.9.6-1
libssh2 1.10.0-1
libsynctex 2021.59745-1
